ID,Question,A,B,C,D,E,Answer
4745,"Il P. S. urinario e' notevolmente basso (10021004) in una di queste forme
morbose:",,diabete mellito,diabete insipido,glomerulonefrite acuta,sindrome nefrosica,E
4746,"Quale di questi elementi ha un peso atomico di 14,008?",,azoto,sodio,carbonio,calcio,E
4747,La calcemia puo' essere aumentata in una di queste condizioni:,,periodo terminale della gravidanza,ipoparatiroidismo,ipertiroidismo,morbo celiaco,E
4748,Le immunoglobuline dotate di piu' elevata vis nefritogena sono le:,,Ig,Ig,Ig G,Ig M,E
4749,La caratteristica dell'ozena e':,,sinusite,deviazione del setto nasale,epistassi,nevralgia del trigemino,E
4750,Alle ernie iatali di associano piu' frequentemente:,,la stenosi pilorica,la calcolosi della colecisti e la diverticolosi del colon,diverticoli faringoesofagei,le varici esofagee,E
4751,"La sindrome di Crigler-Najjar e' caratterizzata da prevalente aumento nel
siero di:",,bilirubina indiretta,sali biliari,fosfatasi alcalina,gamma-GT,E
4752,Nelle ustioni di secondo e terzo grado estese si rileva:,,ipopotassiemia,ipocloremia,aumento delle proteine seriche,ipobicarbonatemia,E
4753,"La concentrazione dell'albumina del plasma e' aumentata in una di queste
condizioni:",,,,,,
4754,La malattia di Whipple e' caratterizzata da:,,una sindrome da cattiva digestione a genesi gastrica,una sindrome da malassorbimento primitivo,una sindrome da malassorbimento secondario,llison,E
4755,Normalmente l'acetonemia e' di:,,"0,3-2,0 mg %","2,5-3,0 mg %","3,5-4,0 mg %","4,5-5,0 mg %",E
4756,L'ascite in corso di ipertensione portale compare quando coesiste:,,splenomegalia,epato-splenomegalia,iponatremia,ipoalbuminemia,E
4757,"Nel m. di Werlhof (porpora idiopatica trombocitopenica) uno di questi
dati risulta erroneo. Quale?",,tempo di emorragia prolungato,tempo di coagulazione normale,retrazione del coagulo normale,prove di fragilita' vasale positive,E
4758,L'emofilia B e' dovuta a carenza di uno di questi fattori:,(fattore XI),PT,FSF (fattore XIII),PT,fattore di Hageman (fattore XII),E
4759,"Il massaggio del seno carotideo, la compressione dei bulbi oculari o la
manovra di Valsalva possono sortire uno di questi effetti:",,incremento di una tachicardia atriale parossistica,trasformazione di un flutter atriale in fibrillazione,riduzione di una tachicardia sinusale,incremento di una tachicardia sinusale,E
4760,"Un aumento evidente delle gamma-globuline si rileva spesso nel decorso
di una di queste malattie. Quale?",,tromboangioite obliterante,uremia,ulcera duodenale,pneumoconiosi,E
4761,Ipoglicemia si rileva nella condizione di:,,dumping syndrome,ushing,neoplasie glucagone-secernenti,sindrome di,E
4762,"Nella reazione immune di tipo reaginico come mediatore della reazione vi
e' uno di questi fattori. Quale?",,frazione,7 del complemento,frazione,prostaglandine,E
4763,L'uso del tiopentale ( Pentotal) e' severamente controindicato:,,nella litiasi epatica,nei bronchiettasici,nella porfiria,nell'ulcera gastrica,E
4764,La reazione di Ghedini-Weinberg e' utile per la diagnosi di:,,malaria,trichinosi,ascesso amebico,cisti da echinococco,E
4765,Quali fra le seguenti caratteristiche si applicano alle cellule NK?,,"espressione costitutiva del recettore per IL-2 a bassa affinità (catena
a/",3a,esprimono recettori per le molecole MH,espressione di recettori per,E
4766,Dove poggia la faccia inferiore del cuore?,,sullo sterno,sul pilastro sinistro del diaframma,sul centro frenico del diaframma,tutte le citate,E
4767,Il sintomo piu' costante del m. di Hodgkin in fase iniziale e' la:,,linfopenia,febbre,anemia,S aumentata,E
4768,"La sede di maggiore importanza di produzione della calcitonina nei
mammiferi e':",,la tiroide,il surrene,il pancreas,il fegato,E
4769,"Quale di queste malattie piu' raramente esita in una insufficienza renale
cronica?",,nefropatia gravidica,rene policistico,tubercolosi renale,pielonefrite non ostruttiva,E
4770,"Asincronia di tutti i polsi periferici rispetto all'itto puntale si rileva negli
aneurismi:",,dell'arco aortico,del tronco brachio-cefalico,dell'aorta toracica,dell'aorta addominale,E
4771,"Nell'ernia dello hiatus esofageo non complicata da ulcerazione o stenosi o
flogosi, il dolore:",,si irradia verso la fossa clavicolare sinistra,si irradia verso l'ascella di sinistra,si irradia verso l'ipocondrio sinistro,non si irradia,E
4772,"Quale di questi dati di laboratorio risulta nettamente aumentato nelle fasi
di attivita' del linfogranuloma di Hodgkin?",,piastrinemia,sideremia,albuminemia,azotemia,E
4773,"Nell'ipertiroidismo, fra i sintomi soggettivi qui elencati, uno solo e' di
regola assente. Quale?",,ipersensibilita' al freddo,astenia,tremori,sete,E
4774,La lattico-deidrogenasi e' aumentata in una di queste condizioni:,,aterosclerosi,anemia megaloblastica,obesita',artrosi,E
4775,"I corpi del Negri, inclusioni caratteristiche della rabbia sono piu' numerosi
abitualmente:",,nel midollo allungato,nel cervelletto,nelle cellule di Purkinje,in tutte queste formazioni nervose,E
4776,"Epatomegalia caratterizzata da fegato molle e dolente si rileva in una di
queste condizioni:",,fegato da stasi circolatoria cronica,fegato da pericardite cronica,fegato da ittero emolitico,fegato leucemico,E
4777,L'angolo di Louis corrisponde all'inserzione:,,della II costola sullo sterno,della III costola sullo sterno,dello xifoide con lo sterno,del diaframma sulla colonna vertebrale,E
4778,L'ematuria terminale e' per lo piu' di origine:,,uretrale,vescicale,prostatica,ureterale,E
4779,"Marcato rigonfiamento idropico degli epatociti con citoplasma di aspetto
vitreo e chiaro, specie in corrispondenza delle regioni centrolobulari si
rileva:",,nelle fasi iniziali dell'epatite virale,nella colelitiasi cronica,nella colelitiasi acuta,in tutte queste epatopatie,E
4780,Acidosi tubulare renale distale primitiva e' la:,lbright,s. di Lightwood-,c. di Wilson,ebre'-Fanconi,s. di,E
4781,Carenza di vitamina K si manifesta con:,,lingua a carta geografica,emorragie,palpebrite angolare,vascolarizzazione corneale,E
4782,Delirio lucido si rileva in caso di:,,sindrome confusionale di origine tossica,sindrome confusionale di origine infettiva,psicosi persecutoria,tutte queste condizioni,E
4783,Dove sboccano gli orifici ureterali?,,all'apice della vescica,nel fondo della vescica,tutte le citate,nessuna delle citate,E
4784,Nella sindrome di Schonlein-Henoch le Ig G sono nel plasma:,,diminuite,aumentate,denaturate,assenti,E
4785,I polipeptidi sono costituiti da,,un numero limitato di glucidi,tre molecole di trigliceridi,"sfingosina, ac.grasso e un monosaccaride","glicerolo, ac.fosforico, ac.grassi",E
4786,"Nella sieroagglutinazione di Wright gli anticorpi sono prevalentemente
costituiti da immunoglobuline della classe:",,Ig M,Ig,,Ig,E
4787,Il fascio di His si suddivide in branca:,,"destra, sinistra, sinistra anteriore e sinistra posteriore","destra anteriore, destra posteriore e sinistra","sinistra anteriore, sinistra posteriore e destra","sinistra anteriore e posteriore, destra anteriore e posteriore",E
4788,Lesioni del sistema nervoso centrale sono sempre presenti in corso di:,,s. di Moschcowitz (porpora trombotica trombocitopenica),m. di Paget,dermatopolimiosite,artrite reumatoide,E
4789,Stravaso spontaneo di urina puo' verificarsi per:,,cistopielite,pielonefrite,tutte queste possibili cause,nessuna di queste,E
4790,"Nella mitosi cellulare i cromosomi si stipano lungo l'equatore della cellula
nella:",,profase I,profase II,metafase,anafase I,E
4791,Quale di queste arterie non fa parte del poligono del Willis?,,arteria comunicante anteriore,arteria basilare,arteria comunicante posteriore,arterie cerebrali posteriori,E
4792,La colecistocolangiografia risulta in genere inefficace nei:,,soggetti al di sotto dei 5 anni di eta',soggetti itterici,in tutte queste condizioni,in nessuna di queste condizioni,E
4793,Il numero normale delle piastrine e':,,150.000 - 250.000,200.000 - 400.000,150.000 - 450.000,150.000 - 600.000,E
4794,"La dissenteria bacillare e' una affezione caratterizzata da vomito, diarrea,
ecc. dovuta a:",,,schistosomi,balantidium coli,arbovirus gruppo,E
4795,La glicoprotidemia e' aumentata in una di queste condizioni:,,artropatia uratica inattiva,osteoartrosi localizzata,spondilite anchilopoietica,osteoblastoma,E
4796,L'ustione di II grado e' caratterizzata da:,,ulcere,escare,flittene,esantema,E
4797,L'anemia perniciosa di Biermer propriamente detta e' dovuta a:,,"12 + fattore
intrinseco",aumentato consumo nel lume intestinale di Vit.,alterato assorbimento intestinale del complesso vit.,insufficienza pancreatica,E
4798,Il fenomeno di Wenckebach e' rilevabile nel:,,blocco seno-atriale progressivo,blocco di branca destro,blocco di branca sinistro,emiblocco anteriore sinistro,E
4799,"La presenza di aftosi buccale e genitale recidivante associata a disturbi
oculari suggerisce:",,ehcet,panarterite nodosa,malattia di,actinomicosi,E
4800,La parete del ventricolo destro:,,e' piu' sottile della parete del ventricolo sinistro,e' dello stesso spessore della parete del ventricolo sinistro,e' piu' spessa del setto,nessuna delle citate,E
4801,"Il segno di Romberg si manifesta ad occhi chiusi e ad occhi aperti in una
delle seguenti condizioni:",,strabismo divergente,atassia tabetica,atassia labirintica,atassia cerebellare,E
4802,"Tra i seguenti donatori quale ha la maggiore possibilità di condividere con
il ricevente gli antigeni di istocompatibilita':",,la madre,un fratello,nessuno,il nonno,E
4803,Il tempo di emorragia e' allungato in casi di:,,emofilia,piastrinopenia modesta (piastrine > 100.000),deficit grave di protrombina,difetto di fattore V e VIII,E
4804,Quale di questi fattori ha funzione inibente la defecazione?,,contrazione del diaframma,contrazione del m. elevatore dell'ano,rilasciamento della parete del retto,tutti questi fattori,E
4805,Nella disidratazione ipertonica la concentrazione degli eritrociti e':,,aumentata,diminuita,notevolmente diminuita,normale o diminuita,E
4806,Diatesi emorragica da alterazioni vasali e' la:,,porpora di Schonlein-Henoch,coagulazione intravascolare disseminata,m. di von Willebrand,trombopatia uremica,E
4807,Nel cuore polmonare cronico si rileva abitualmente:,,ematocrito diminuito,cianosi di modesta entita',poliglobulia,rinforzo del II tono aortico,E
4808,I seguenti ormoni vengono secreti dalla corticale del surrene eccettuato:,,estrogeni,androgeni,progesterone,catecolamine,E
4809,Quale di questi farmaci e' utile nella terapia del mieloma multiplo?,,adriamicina,ciclofosfamide,prednisone,tutti questi farmaci,E
4810,Nella pancreatite acuta il sintomo piu' frequente e':,,,,,,
4811,"Nel ciclo cardiaco dell'ecg il periodo vulnerabile in cui puo' cadere un
battito prematuro tale da poter scatenare una tachicardia o fibrillazione
ventricolare e':",,l'onda Q,il tratto ascendente dell'onda R,il tratto ascendente presso l'apice dell'onda T,il tratto T-P,E
4812,"Iperfosfatemia, ipercalcemia, iperprotidemia, proteinuria e R. W. positiva
si rilevano nella seguente condizione morbosa:",,linfogranuloma di Hodgkin,mieloma multiplo,leucemia mieloide cronica,leucemia linfatica acuta,E
4813,Ipogonadismo primitivo acquisito e' la:,,s. di Steinert o distrofia miotonica,s. di Klinefelter,s. di Reifenstein,vanishing testes syndrome,E
4814,"Nell'intossicazione da tallio, sia medicamentosa che da avvelenamento, si
rilevano tutti questi sintomi ad esclusione di uno. Quale?",,coliche addominali,mialgie,artralgie specie agli arti inferiori,orletto gengivale color ardesia,E
4815,Per avere una reazione di tipo allergico quale condizione è indispensabile:,,attivazione massiva dei,attivazione massiva delle piastrine,degranulazione di neutrofili e eosinofili,e degranulazione di basofili e mastociti,E
4816,"Splenomegalia di modesta entita' si osserva nella seguente condizione
morbosa:",,leucemia acuta,Kala-azar,m. di Gaucher,leucemia mieloide cronica,E
4817,"Un versamento pleurico nella insufficienza cronica congestizia nella
maggior parte dei casi presenta una di queste caratteristiche:",,e' localizzato a sinistra,e' localizzato da entrambi i lati,ha carattere essudatizio,insorge con dolore toracico acuto,E
4818,Nell'iperidratazione isotonica l'ematocrito e':,,molto aumentato,aumentato,normale,diminuito,E
4819,"Tumefazione linfoghiandolare localizzata (cioe' circoscritta per lo piu' ad
una sola stazione linfoghiandolare) si rileva nella:",,toxoplasmosi,brucellosi,tularemia,poliartrite cronica primaria,E
4820,Gli streptococchi:,,non hanno ciglia,sono sporigeni,hanno attivita' catalasica,non hanno alcuna di queste caratteristiche,E
4821,"La stenosi pilorica da ulcera gastrica e' caratterizzata da tutti questi
sintomi ad esclusione di uno. Quale?",,tensione post-prandiale,guazzamento gastrico,disidratazione,inappetenza,E
4822,Il test scatenante all'istamina viene eseguito in caso di:,ddison,ipotiroidismo,m. di,iperaldosteronismo,feocromocitoma,E
4823,Quale di queste coppie di composti ha azione broncodilatatrice?,2,PG,PGF2 e trombossano,PG,PGI2 e trombossano,E
4824,"La sindrome da eccessiva ingestione di liquerizia si manifesta con i segni
di:",,pseudoipertiroidismo,pseudoiperaldosteronismo,insufficienza renale acuta,edema cerebrale,E
4825,"Nel soggetto sano in condizioni normali l'acqua eliminata nelle 24 ore con
la espirazione e la perspiratio insensibilis e' in media di:",,800-1000 ml,400-800 ml,200-400 ml,100-200 ml,E
4826,Farmaco di elezione nella terapia dell'attacco acuto di gotta e',,l'acido acetilsalicilico,la colchicina,l'aminofenazone,la fenacetina,E
4827,La natremia e' diminuita in una di queste condizioni:,,artter,ulcera duodenale,sindrome di Schwartz-,glomerulonefrite acuta diffusa,E
4828,Antigeni sarcolemmici si rilevano nel 50 % dei casi di:,,artrite reumatoide,glomerulonefrite acuta,malattia di Hashimoto,,D
4829,"Tutti questi sintomi sono rilevabili nella sindrome mediastinica anteriore
tranne uno. Quale?",,compromissione tracheale,compromissione del simpatico,compromissione del tronco brachio-cefalico,pleurite,E
4830,L'ascesso e':,,una raccolta di pus,una raccolta di sangue,un granuloma infiammatorio,un tumore benigno,E
4831,Nella sindrome dell'ansa cieca la steatorrea e' determinata da:,,insufficiente escrezione di succo pancreatico,deconiugazione batterica degli ac. biliari,ostruzione delle vie biliari,coledocite,E
4832,"La parola scandita, interrotta, e' caratteristica di:",,malattia di Parkinson,mixedema,acromegalia,sclerosi a placche,E
4833,Nelle pollinosi la reazione immune e' di:,,II tipo: citotossica,III tipo: da complessi immuni,IV tipo: cellulare,altro tipo,E
4834,Il morbo di Werlhof e' una:,,diatesi emorragica da alterazioni vasali,,porpora da carenza di vitamina,porpora idiopatica trombocitopenica,E
4835,"Una delle seguenti malattie ha un periodo di incubazione breve,
abitualmente di 2-4 giorni:",,parotite epidemica,tifo addominale,meningite meningococcica,pertosse,E
4836,Quali di questi germi e' scarsamente sensibile alla penicillina?,,gonococco,pneumococco,meningococco,piocianeo,E
4837,Quale fra queste e' la forma piu' semplice di vita organizzata ?,,batterio,treponema,rickettsia,protozoo,E
4838,"Aritmia dipendente dalle modalita' di formazione dell'impulso cardiaco a
livello atriale si rileva in una di queste condizioni:",,blocco seno-atriale comune,blocco seno-atriale completo,aritmia sinusale,dissociazione atriale,E
4839,Il ramo circonflesso ha origine dalla:,,arteria interventricolare anteriore,arteria coronarica di sinistra,arteria interventricolare posteriore,arteria marginale sinistra,E
4840,"Il segno di Hamman (suono di gorgoglio sincrono col battito cardiaco) si
rileva nei casi di:",,pleurite essudativa diaframmatica sinistra,aderenza pleuropericardica,raccolta di aria fra cuore e parete anteriore del torace,infarto splenico,E
